date,positive_ratio,top_word,strongest_title_with_top_word
2024-06-17,26.3,엔비,브로드컴이고 지랄이고 걍 엔비만 사야겠다
2024-06-18,27.3,엔비,엔비디아 망함? 이제 다른거 타야하나?
2024-06-19,28.56,엔비,"올해 가장 병신같은 결정 = 엔비디아 매도,삼성전자 매수"
2024-06-20,27.24,엔비,코인으로 4천 날리고 돈 다빼서 엔비산게 작년이었음
2024-06-21,26.13,엔비,엔비디아 끝도없이떨어지네시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 벌써 120불깨짐
2024-06-22,26.98,엔비,엔비디아 다음주에 떨어지기도 힘들듯
2024-06-23,29.47,엔비,엔비 1000깨져도 압도적 3윈데ㅋㅋㅋㅋ
2024-06-24,26.31,엔비,엔비디아고 지랄이고 그게 중요한거냐...
2024-06-25,26.5,엔비,엔비디아 맛없다 인텔과 마이크론을 먹자 ㄱㄱ
2024-06-26,27.2,엔비,병신들 기술적조정으로 엔비 거품취급하던 ㅂㅅ들ㅋㅋㅋㅋ
2024-06-27,27.45,엔비,엔비디아 이 병신기업은 빗코운지하면서 쳐박았어야 할 새끼가
2024-06-28,26.74,나이키,나이키 어닝 또 실망만 안겨줘
2024-06-29,28.52,나이키,"5년 최저점 나이키사기 , 역대최고점 앤비디아 사기 골라라"
2024-06-30,29.68,부동산,부동산자체가 싫은게 아니고 한국부동산이 노답이라 싫은거임
2024-07-01,27.42,테슬라,걍 모든주식이 다 매도세네 테슬라빼고
2024-07-02,27.16,테슬라,테슬라발표할 내용도 안좋은데 왜삼??
2024-07-03,26.85,테슬라,안되겟다 테슬라 공약한다
2024-07-04,28.69,테슬라,지금이라도 테슬라 사도 안늦었냐?
2024-07-05,27.88,테슬라,테슬라 올라가도 좋고 내려가도 좋고
2024-07-06,28.92,테슬라,테슬라 더 오르는이유
2024-07-07,29.86,테슬라,워렌버핏.... 테슬라 비추다 ㄷㄷ....Jpg
