date,positive_ratio,top_word,strongest_title_with_top_word
2024-05-29,24.88,엔비,엔비디아 퍼 너무 높다 ㅡㅡ
2024-05-30,34.07,엔비,또 엔비만 오르고 보합하면 나 진짜 화나??
2024-05-31,36.43,엔비,엔비로도 크게 못먹을것 같고 (nvdl)타도 지금 너무 고점...
2024-06-01,31.82,엔비디아,엔비디아 싸가지없게 마삼도 안왔어?
2024-06-02,37.63,엔비디아,4년째 들고있는 적금깨고 엔비디아 풀매수하려고 하는데
2024-06-03,29.25,엔비,엔비디아는 항상 최저점이라고 븅싄들아 ㅋㅋㅋㅋ
2024-06-04,33.76,엔비,엔비디아 믿음없이 판 흑우들 보거라
2024-06-05,35.62,엔비,엔비디아 큰 거 안 바란다
2024-06-06,37.31,엔비,"분명히 지금도 어딘가에 숨겨진 제2,제3의 엔비디아가 있겠지??"
2024-06-07,30.67,엔비,1210 이하에서 끝나면 엔비 경축
2024-06-08,27.83,엔비,지에미 팔린거 다 엔비로 흘러가는게 보이노 ㅋㅋㅋ
2024-06-09,40.21,엔비디아,엔비디아도 결국 망함
2024-06-10,32.77,엔비,지금도 늦지않았다 야수는 엔비2배 롱잡는다
2024-06-11,28.15,애플,애플 마1 실망매물 출하중ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-06-12,33.42,애플,애플 저가격 절대 안오니 수익보면 지금 팔아라
2024-06-13,32.63,테슬라,테슬라 이걸 보고도 사고싶게 생겼냐? ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-06-14,33.91,엔비,엔비 볼때마다 후회함..
2024-06-15,39.68,엔비,주말에도 엔비 이야기 뿐이네
2024-06-16,37.53,근데,근데 코로나 호들갑 존나 뜬금없이 끝났노
2024-06-17,32.85,엔비,브로드컴이고 지랄이고 걍 엔비만 사야겠다
2024-06-18,35.63,엔비,엔비디아 망함? 이제 다른거 타야하나?
2024-06-19,37.92,엔비,"올해 가장 병신같은 결정 = 엔비디아 매도,삼성전자 매수"
2024-06-20,35.26,엔비,코인으로 4천 날리고 돈 다빼서 엔비산게 작년이었음
2024-06-21,33.65,엔비,엔비디아 끝도없이떨어지네시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 벌써 120불깨짐
2024-06-22,33.88,엔비,엔비디아 다음주에 떨어지기도 힘들듯
2024-06-23,41.78,엔비,엔비 1000깨져도 압도적 3윈데ㅋㅋㅋㅋ
2024-06-24,34.1,엔비,엔비디아고 지랄이고 그게 중요한거냐...
2024-06-25,35.49,엔비,엔비디아 맛없다 인텔과 마이크론을 먹자 ㄱㄱ
