date,positive_ratio,top_word,strongest_title_with_top_word
2024-01-08,28.81,엔비디아,와 엔비디아 사상 최고가 찍음 ㄷㄷ
2024-01-09,29.04,엔비디아,엔비디아가 유일한 희망이다
2024-01-10,28.17,엔비디아,엔비디아 제발좀뒤져라
2024-01-11,25.94,엔비디아,엔비디아 500 아래로 출발
2024-01-12,28.65,테슬라,테슬라는 이제 화제성도없음
2024-01-13,27.14,대만,ㅅㅂ 대만보니 월요일 숏이다 ㅠ
2024-01-15,25.88,환율,나라망하냐? 환율 열권까지 뚫었네
2024-01-16,26.97,테슬라,오늘테슬라 몇예상?
2024-01-17,29.23,테슬라,테슬라 지지라인 견고하노
2024-01-18,25.58,테슬라,저러다 테슬라 공장 스톱 3주 추가되면 주가 어케되냐
2024-01-19,27.73,테슬라,테슬라 실적발표 너무 기대되자너 ㅋㅋㅋㅋㅋㅋ
2024-01-20,28.76,테슬라,테슬라 실적 진짜 최악으로 나오면 어찌 됨?
2024-01-22,26.13,테슬라,아까 반도체 신격화하고 테슬라 조롱하더니
2024-01-23,28.0,테슬라,테슬라해보면 그래도 재밌다.
2024-01-24,26.78,테슬라,테슬라 전량 손절하고 앤비 더 담앗다
2024-01-25,27.24,테슬라,테슬라 체결강도 계속 떨어지는 중
2024-01-26,26.61,테슬라,테슬라 호재거리1도 없는게 맞음?
2024-01-27,31.11,테슬라,테슬라 한국에서 안되는 이유가 뭔지 아냐?
2024-01-29,28.6,테슬라,테슬라 한달뒤에 더떨어지면 살까 고민중
2024-01-30,26.71,암드,암드 4월 실적 벌써 뜬거 뭐냐고!
2024-01-31,25.8,테슬라,병신 벨런스) 엔비디아 600불vs 테슬라200불 누가더 병신이냐????
2024-02-01,24.95,애플,아무리봐도 애플 메타 실적 폭망각인데 ㅋㅋㅋㅋㅋ
2024-02-02,24.92,테슬라,속보) 테슬라 유럽호재떳닼ㅋㅋ 개떡상중
2024-02-03,28.23,비전프로,비전프로 확신이 간다
2024-02-05,26.75,엔비디아,오늘 테슬라 전량 손절하고 엔비디아 풀매수했다
2024-02-06,27.36,엔비디아,엔비디아 지금이 최저점이다
2024-02-07,26.84,테슬라,삼류차티스트의 테슬라 차트분석 (단기)
2024-02-08,27.78,엔비디아,엔비디아 기술력이 압도적이게 된 이유가 뭐임?
2024-02-09,28.62,엔비디아,엔비디아 거품이다 <== 1년전부터 듣던소리ㅋㅋㅋㅋ
2024-02-10,30.47,엔비디아,엔비디아 거품이 너무 심하다
2024-02-12,27.47,비머,비머 사면 그냥 돈이 복사가 된다고ㅋㅋㅋㅋ
2024-02-13,25.29,엔비,엔비 2배숏에 천박았다
2024-02-14,29.1,슈마컴,엔비디아 거품이고 슈마컴이 그냥 1황 아님?
2024-02-15,27.37,슈마컴,엔비 서버케이스 랙 만들고 쿨러 달려나가는게 슈마컴
2024-02-16,27.36,슈마컴,손절 라인도 안잡고 슈마컴 들어간 흐구 새기 없지???????
2024-02-17,31.37,슈마컴,슈마컴도 미반꿀각 날카롭네
2024-02-19,28.7,슈마컴,슈마컴 천하제일 단타대회 시작
2024-02-20,25.47,엔비,엔비 이 병신 다시 아마존한테 따이네
2024-02-21,26.79,엔비,엔비디아도 못 믿고 손절한 사람 있음?
2024-02-22,27.0,엔비디아,엔비디아 개같이 흐르네ㅋㅋㅋㅋ
2024-02-23,26.31,엔비디아,후회하는 점 엔비디아에 7천 밖에 안태움
2024-02-24,32.32,엔비디아,엔비디아 거품이라 생각하는 이유가 뭐임?
2024-02-26,28.89,테슬라,테슬라오늘 불 제대로붙었네 ㄷㄷ
2024-02-27,27.44,테슬라,역시 테슬라가 최강이다
2024-02-28,25.69,비트코인,"잡코인도 아니고 ""비트코인""이라고 병신들아ㅋㅋ"
2024-02-29,26.51,엔비,엔비디아 애당초 근본없는 기업이였음
2024-03-01,26.17,엔비,엔비충들 왤케 좋아함?
2024-03-02,30.4,주식,지금 per 20이하 개꿀단지 주식 1개안다
2024-03-04,25.92,테슬라,테슬라 이 병신은 답도 없노 ㅋㅋㅋㅋ
2024-03-05,26.56,엔비디아,엔비디아도 이제 한물 갔네
2024-03-06,27.32,테슬라,테슬라는 영 아닌거 같다.
2024-03-07,28.44,엔비,반박 불가능한 엔비디아+AI반도체주가 거품인 이유...FACT
2024-03-08,26.02,엔비,엔비디아 5프로밖에 안빠졌는데
2024-03-09,30.1,엔비디아,반박 불가능한 엔비디아+AI반도체주가 거품인 이유...FACT
2024-03-11,25.82,엔비,ㅡㅡ 집 계약하고 왔습니다 (엔비+비트) 다팔고 테슬라삼 ㅡㅡ
2024-03-12,24.75,엔비,(이악물고) 엔비 선반영이야 <- 웃기지않냐? ㅋㅋ
2024-03-13,25.81,테슬라,테슬라 이 개 쓰레기는 도데체
2024-03-14,28.23,테슬라,테슬라 물고있을바에야 인텔물지
2024-03-15,25.53,엔비,투심 뒤지기 일보직전인데 엔비 오르겠냐고ㅋㅋㅋㅋㅋㅋ
2024-03-16,29.94,테슬라,테슬라 모아가기 딱 좋누
2024-03-18,23.94,엔비,엔비디아 더도말고 덜도말고 7%만 오르자
2024-03-19,25.7,엔비,엔비 방송에 모든 사람 실망한거 맞지 않음?
2024-03-20,26.26,엔비,엔비 900안착 또 실패네
2024-03-21,23.76,레딧,쿠팡은 물건이라도 갖다 팔지 레딧은 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-22,26.37,테슬라,테슬라 겁나 웃기네ㅋㅋ
2024-03-23,29.17,테슬라,느낌 왔다 담주 테슬라 풀배팅한다
2024-03-25,24.85,엔비,엔비디아 관련해서 헛소리로 저주 퍼붓는 애들이 너무 많음
2024-03-26,28.33,테슬라,오늘도 우리 예쁜 테슬라 시~~원하게 7%상승 가즈아~~!!
2024-03-27,26.15,테슬라,테슬라 이번주에 오르는 이유
2024-03-28,27.41,엔비,엔비 숏칠 자신감도 없는 새끼들이 엔비가 어쩌고 ㅋㅋ
2024-03-29,29.45,테슬라,짱깨들 자국산에 환장하는데 테슬라가 뭘 팔겠다고
2024-03-30,31.14,이유,이혼의 결정적 이유
2024-04-01,25.55,테슬라,오늘이 그 테슬라의 유쾌한 반?란? 하는 날임??
2024-04-02,26.2,테슬라,테슬라 향한 소비자 평가 역대 최저 - Caliber
2024-04-03,25.95,테슬라,테슬라 숏에게 최악의 시나리오
2024-04-04,26.18,테슬라,테슬라 FSD가 의미 없는이유 팩트 3가지
2024-04-05,25.12,테슬라,"테슬라 힘을 못쓴다, 질질 밀린다"
2024-04-06,30.78,테슬라,테슬라 투자해도 괜찮은 이유 간단함
2024-04-08,29.71,테슬라,오늘 테슬라 무빙존나 재미없네
2024-04-09,28.09,테슬라,테슬라 3배롱 최저점에서 판게 내가 될줄은...ㅋㅋ
2024-04-10,25.91,테슬라,제발 테슬라 170이하로 가주세요
2024-04-11,25.18,테슬라,테슬라 진짜 어거지로 말아올리려는 거 역겹네
2024-04-12,23.52,환율,시발 주식으로 -8프로 찍고있는데 환율로 플러스난게 레전드네
2024-04-13,26.41,이란,이란 < 북한보다 병신인듯
2024-04-15,23.39,테슬라,테슬라 <——— 코나ev 보다 구림 ㅋㅋ
2024-04-16,25.36,테슬라,테슬라숏 이 다 썩겠네
2024-04-17,24.72,테슬라,테슬라 지금도 말도 안되게 비쌈 ㄹㅇ
2024-04-18,23.83,테슬라,테슬라는 장투 가치도 없음
2024-04-19,24.27,엔비,엔비숏보다 안오를줄은 예상못했다
2024-04-20,27.35,테슬라,테슬라 좆망한 이유중 가장 큰건 오너리스크임
2024-04-22,24.87,테슬라,테슬라 숏 타이밍만 열흘째 잡다가 결국 던짐
2024-04-23,26.61,테슬라,"뉴욕증시 테슬라 실적발표 ""최악의 어닝쇼크"""
2024-04-24,23.87,테슬라,오늘 주차장에서 테슬라 봤는데 예쁘더라
2024-04-25,23.05,테슬라,테슬라 오늘도 느낌 좋음
2024-04-26,24.69,테슬라,이번 주 최악은 테슬라 숏이었다
2024-04-27,26.54,일본,난 일본의 아날로그 감성이 너무 좋음
2024-04-29,27.31,테슬라,테슬라롱인나도 안믿겨
2024-04-30,25.49,테슬라,숏치다 조진거 어제 테슬라 롱으로 겨우 복구
2024-05-01,23.12,테슬라,테슬라=폰지 사기
2024-05-02,23.4,애플,애플= 주가는 떨어지고 매출은 급락하고 혁신은 없고 주주들은 짱나고
2024-05-03,23.9,테슬라,테슬라 평단 181인데 좀만 더오르면 안되겟니
2024-05-04,28.14,애플,애플 자사주 매입 진짜 이해 안 감
2024-05-06,25.47,테슬라,테슬라 지금너무많이올랏다
2024-05-07,23.77,테슬라,애당초 테슬라을 왜 사냐?존나 거품인데
2024-05-08,24.98,테슬라,테슬라 25퍼 빠져야 최저점 가는 거 아님?
2024-05-09,25.05,로블록스,손모가지 날아간 로블록스 하따충 개추 ㅋ
2024-05-10,25.71,테슬라,테슬라 이제 맛없어진다 ㅇㅇ 쭉 횡보
2024-05-11,26.93,지수추종,지수추종의 오만함 무조건 계속 우상향 한다는 믿음
2024-05-13,24.88,테슬라,테슬라 170불 <- 지구역사상 최저점 ㄷㄷㄷ
2024-05-14,25.72,테슬라,테슬라 저거 180 내일 넘기더라도 조만간 또 꼴박임
2024-05-15,25.68,지애미,롱숏대전이 재밋는데 지애미같은걸 끼얹네
2024-05-16,24.5,엔비,지수추종할바엔 엔비디아삼
2024-05-17,24.8,엔비,엔비 어닝 발표 전날부터 질질 흘릴듯
2024-05-18,29.49,엔비,토스 종토방 보니 엔비 실적 기대가 전혀 안되네
2024-05-20,24.47,엔비,엔비디아 수익인증 이거보다 레전드 있음?.jpg
2024-05-21,26.04,엔비,엔비 미국에 돈을 쓸어다주는 주식인데 떨구겠음?
2024-05-22,26.64,엔비,이런 병신들이 한가득인데 엔비디아가 떨어지겠냐??
2024-05-23,24.02,엔비,엔비 950에 익절하고 나온거 존나 후회되네
2024-05-24,25.42,엔비,장도 안좋고 옵션만기일인데 엔비 쏘면
2024-05-25,28.32,엔비디아,엔비디아 실적 집계할때 주문시점에서 매출로 잡음?
2024-05-27,26.26,엔비,엔비디아 결국은 떨어지게 되어있음
2024-05-28,25.48,엔비,엔비디아 퍼 너무 높다 ㅡㅡ
2024-05-29,24.38,엔비,엔비디아 치명적 결함 발견 RTX 그래픽카드 5만개 전량 회수
2024-05-30,26.48,엔비,엔비로도 크게 못먹을것 같고 (nvdl)타도 지금 너무 고점...
2024-05-31,25.92,엔비,엔비디아 싸가지없게 마삼도 안왔어?
2024-06-01,28.55,엔비디아,4년째 들고있는 적금깨고 엔비디아 풀매수하려고 하는데
2024-06-03,25.21,엔비,이악물고 엔비로 주가방어 ㅈㄴ게하노 ㅋㅋ
2024-06-04,26.52,엔비,엔비디아 믿음없이 판 흑우들 보거라
2024-06-05,28.29,엔비,엔비디아 큰 거 안 바란다
2024-06-06,26.35,엔비,1210 이하에서 끝나면 엔비 경축
2024-06-07,25.02,엔비,지에미 팔린거 다 엔비로 흘러가는게 보이노 ㅋㅋㅋ
2024-06-08,29.79,엔비디아,엔비디아도 결국 망함
2024-06-10,25.52,엔비,지금도 늦지않았다 야수는 엔비2배 롱잡는다
2024-06-11,26.45,애플,애플 저가격 절대 안오니 수익보면 지금 팔아라
2024-06-12,27.0,애플,애플 지금이라도 안늦었냐?
2024-06-13,25.77,테슬라,올해 내가 가장 잘한거 테슬라 손절
2024-06-14,27.08,엔비,엔비 볼때마다 후회함..
2024-06-15,31.31,엔비,주말에도 엔비 이야기 뿐이네
2024-06-17,26.66,엔비,브로드컴이고 지랄이고 걍 엔비만 사야겠다
2024-06-18,26.85,엔비,"올해 가장 병신같은 결정 = 엔비디아 매도,삼성전자 매수"
2024-06-19,29.1,엔비,코인으로 4천 날리고 돈 다빼서 엔비산게 작년이었음
2024-06-20,25.51,엔비,연어새끼도 아니고 엔비는 140으로 회귀하려는 습성을 가지고 있네
2024-06-21,26.89,엔비,얼마 전까지 125 미만이었던게 엔비디아임
2024-06-22,29.48,엔비,엔비디아 다음주에 떨어지기도 힘들듯
2024-06-24,26.53,엔비,엔비디아 110이하로는 안떨어짐
2024-06-25,26.63,엔비,엔비디아 맛없다 인텔과 마이크론을 먹자 ㄱㄱ
2024-06-26,27.07,엔비,엔비디아 이 병신기업은 빗코운지하면서 쳐박았어야 할 새끼가
2024-06-27,26.37,엔비,횡보라 하기엔 너무 번지대 각이다 오늘 엔비는
2024-06-28,27.98,나이키,속보 나이키 5년안에 최저점 돈벌고싶으면 당장타라
2024-06-29,30.05,나이키,"5년 최저점 나이키사기 , 역대최고점 앤비디아 사기 골라라"
2024-07-01,27.56,테슬라,걍 모든주식이 다 매도세네 테슬라빼고
2024-07-02,26.1,테슬라,테슬라발표할 내용도 안좋은데 왜삼??
2024-07-03,28.38,테슬라,안되겟다 테슬라 공약한다
2024-07-04,28.07,테슬라,지금이라도 테슬라 사도 안늦었냐?
2024-07-05,27.51,테슬라,테슬라 더 오르는이유
2024-07-06,28.82,테슬라,워렌버핏.... 테슬라 비추다 ㄷㄷ....Jpg
2024-07-08,29.36,테슬라,품질 쓰레기 테슬라의 유일한 경쟁력은 가격인데
2024-07-09,28.04,테슬라,전기차 꼭 테슬라 타야되는 이유가있음?
2024-07-10,27.82,테슬라,테슬라 260 밑으로 갈 가능성도 있냐
2024-07-11,26.12,테슬라,테슬라가 망해도 놀랍고 성공해도 놀라울듯
2024-07-12,26.59,테슬라,테슬라 담주 존나 기대 되네
2024-07-13,27.0,트럼프,트럼프씨 당선을 축하드립니다
2024-07-15,25.88,테슬라,테슬라 개같이 뒤도 안돌아보고 262 탈출
2024-07-16,27.27,테슬라,테슬라 안탄다
2024-07-17,25.14,엔비,엔비 지금 역사상 최저점이다 ㅇㅇ
2024-07-18,23.85,엔비,엔비디아 지금 최저점임?
2024-07-19,24.77,마소,마소의 영향력만 알려준 꼴이 되버린거임...
2024-07-20,29.58,트럼프,트럼프 공약 저 지랄로 내도 당선 가능함???
